Campaign_ID,Date,Campaign_Name,Campaign_Type,Channel,Region,Device,Customer_Segment,Spend,CTR,CPC,Clicks,Impressions
9805,2025-01-01,Flash Sale,Promotional,YouTube,South,Mobile,Returning,26425,1.25,5.58,4736,378880
1001,2025-01-01,Winter Sale,Seasonal,Instagram,South,Mobile,Premium,36721,2.62,18.31,2006,76565
4443,2025-01-01,Weekend Special,Promotional,Email,Central,Mobile,Loyal,29790,6.47,3.17,9397,145240
3207,2025-01-01,Mega Clearance,Clearance,Facebook,Central,Mobile,New,24417,2.9,10.01,2439,84103
8286,2025-01-01,Flash Sale,Promotional,Google Search,West,Mobile,Returning,21636,5.75,40.03,540,9391
8954,2025-01-01,Back to School,Seasonal,Google Search,Central,Mobile,Premium,34174,6.97,40.27,849,12181
5579,2025-01-01,Black Friday,Promotional,Google Search,Central,Mobile,Returning,31478,4.72,43.94,716,15169
2477,2025-01-01,Summer Sale,Seasonal,YouTube,South,Mobile,Returning,65946,0.97,14.81,4453,459072
9669,2025-01-01,Flash Sale,Promotional,YouTube,West,Mobile,New,44748,1.94,9.77,4580,236082
3458,2025-01-01,Back to School,Seasonal,YouTube,East,Mobile,New,44676,0.93,7.39,6045,650000
6658,2025-01-01,Winter Sale,Seasonal,Facebook,North,Mobile,New,58419,2.52,22.73,2570,101984
8863,2025-01-01,Black Friday,Promotional,Google Search,East,Desktop,New,48554,4.26,44.3,1096,25728
4170,2025-01-01,Back to School,Seasonal,YouTube,Central,Mobile,New,37281,1.18,4.12,9049,766864
291,2025-01-01,Summer Sale,Seasonal,Facebook,South,Mobile,Returning,45344,2.48,19.96,2272,91613
5179,2025-01-01,Festive Combo,Festival,YouTube,Central,Mobile,Returning,139647,1.18,11.34,12315,1043644
1912,2025-01-01,Summer Sale,Seasonal,Facebook,Central,Mobile,New,66861,1.64,17.76,3765,229573
5709,2025-01-01,Summer Sale,Seasonal,Facebook,Central,Desktop,Premium,51752,2.99,16.31,3173,106120
1625,2025-01-01,Mega Clearance,Clearance,Facebook,North,Mobile,New,14084,1.88,18.29,770,40957
3944,2025-01-01,Festive Combo,Festival,Instagram,East,Mobile,Returning,81784,2.03,26.01,3144,154877
5344,2025-01-01,Back to School,Seasonal,Instagram,North,Desktop,New,30347,2.55,22.29,1361,53373
9074,2025-01-01,Black Friday,Promotional,Google Search,Central,Mobile,New,28785,4.21,26.36,1092,25938
4594,2025-01-01,Mega Clearance,Clearance,Google Search,Central,Mobile,New,27927,5.64,43.3,645,11436
493,2025-01-01,Festive Combo,Festival,Instagram,Central,Mobile,New,107943,1.62,16.07,6717,414630
2087,2025-01-01,Back to School,Seasonal,Google Search,East,Mobile,New,46008,6.7,41.99,1096,16358
